FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,AGG_METHOD,AGG_METHOD_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2020,2024
A,Annual,AFG,Afghanistan,ITU_GCI_CDS_CYB_PROF_TRAIN,Training for Cybersecurity Professionals - CDS2 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AFG,Afghanistan,ITU_GCI_CDS_GOV_ACAD,Educational programs or academic curricula in cybersecurity - CDS3 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.5016129032258065
A,Annual,AFG,Afghanistan,ITU_GCI_CDS_GOV_MCNSM,Government Incentive Mechanisms - CDS6 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AFG,Afghanistan,ITU_GCI_CDS_NAT_CYB_IND,National cybersecurity industry - CDS5 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AFG,Afghanistan,ITU_GCI_CDS_PUB_CYB_AWE,Public cybersecurity awareness campaigns - CDS1 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0924193548387097
A,Annual,AFG,Afghanistan,ITU_GCI_CDS_RND_PROG,Research and development programs on cybersecurity -CDS4 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AFG,Afghanistan,ITU_GCI_CDS_SCORE,Capacity Development Score - CDS (ITU GCI),0_TO_20,0-20 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,2.320334651404788
A,Annual,AFG,Afghanistan,ITU_GCI_COOP_BLTRL_AGR,Bilateral agreements on cybersecurity cooperation with other countries - CS1 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AFG,Afghanistan,ITU_GCI_COOP_CYB_MULT_AGR,Cybersecurity multilateral agreements -CS3 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
A,Annual,AFG,Afghanistan,ITU_GCI_COOP_GOV_INT_PART,Government participation in international mechanisms related to cybersecurity activities -CS2 (ITU GCI),0_TO_1,0-1 scale,MEAN,Mean,ITU_GCI,Global Cybersecurity Index,0,Units,A,Normal value,PU,Public,0.0,0.0
