Countries,Region,Legal Measures,Technical Measures,Organization Measures,Capacity Development,Cooperation Measures,Tier,Total Score,Assigned Tier
Angola,Africa,13.67,1.78,5.8,2.91,15.33,T4,39.49,Tier 4 – Evolving
Benin,Africa,20,19.29,20,17.97,14.28,T2,91.54,Tier 2 – Advancing
Botswana,Africa,19.52,16.53,15.12,13.32,14.11,T3,78.6,Tier 3 – Establishing
Burkina Faso,Africa,14.18,12.7,15.16,11.61,16.58,T3,70.23,Tier 3 – Establishing
Burundi,Africa,9.9,0,0,1.03,5.84,T5,16.77,Tier 5 – Building
Cabo Verde,Africa,17.36,7.92,12.05,2.19,12.02,T4,51.54,Tier 4 – Evolving
Cameroon,Africa,17.92,6.18,12.86,14.24,14.33,T3,65.53,Tier 3 – Establishing
Central African Rep.,Africa,4.76,0,0,0,0,T5,4.76,Tier 5 – Building
Chad,Africa,12.94,3.17,11.34,6.94,14.28,T4,48.67,Tier 4 – Evolving
Congo (Rep. of the),Africa,14.12,0,3.9,0.72,8.87,T4,27.61,Tier 4 – Evolving
Côte d'Ivoire,Africa,19.43,15.3,17.89,11.11,15.07,T3,78.8,Tier 3 – Establishing
Dem. Rep. of the Congo,Africa,17.28,5.45,14.51,8.92,10.45,T3,56.61,Tier 3 – Establishing
Equatorial Guinea,Africa,6.62,1.39,6.43,2.13,8.87,T4,25.44,Tier 4 – Evolving
Eritrea,Africa,1.76,0,0,0,0.45,T5,2.21,Tier 5 – Building
Eswatini,Africa,18.12,14.96,18.36,10.21,17.7,T3,79.35,Tier 3 – Establishing
Ethiopia,Africa,18.83,14.37,12.12,15.33,15.69,T3,76.34,Tier 3 – Establishing
Gabon,Africa,20,0,5.51,4.9,9.45,T4,39.86,Tier 4 – Evolving
Gambia,Africa,14.77,10.34,15.77,8.77,12.15,T3,61.8,Tier 3 – Establishing
Ghana,Africa,20,20,20,19.27,20,T1,99.27,Tier 1 – Role-modelling
Guinea,Africa,16.27,3.98,14.38,9.74,12.02,T3,56.39,Tier 3 – Establishing
Guinea-Bissau,Africa,0,0,0,0,6.43,T5,6.43,Tier 5 – Building
Kenya,Africa,19.52,19.07,20,20,20,T1,98.59,Tier 1 – Role-modelling
Lesotho,Africa,7.54,2.75,3.85,5.27,11.17,T4,30.58,Tier 4 – Evolving
Liberia,Africa,8.15,0,2.76,1.56,8.87,T4,21.34,Tier 4 – Evolving
Madagascar,Africa,13.55,2.88,4.02,5.58,5.84,T4,31.87,Tier 4 – Evolving
Malawi,Africa,18.16,16.06,17.37,12.26,16.58,T3,80.43,Tier 3 – Establishing
Mali,Africa,12.36,4.56,2.9,0.79,8.87,T4,29.48,Tier 4 – Evolving
Mauritius,Africa,20,20,20,20,20,T1,100,Tier 1 – Role-modelling
Mozambique,Africa,13.92,11.83,15.79,7.93,16.58,T3,66.05,Tier 3 – Establishing
Namibia,Africa,5.66,3.54,16.35,4.57,6.81,T4,36.93,Tier 4 – Evolving
Niger,Africa,16.78,1.39,10.72,3.98,8.99,T4,41.86,Tier 4 – Evolving
Nigeria,Africa,19.52,18.88,16.57,13.15,14.28,T3,82.4,Tier 3 – Establishing
Rwanda,Africa,20,18.98,19.34,19.76,20,T1,98.08,Tier 1 – Role-modelling
Sao Tome and Principe,Africa,9.83,1.39,3.17,0.96,5.09,T4,20.44,Tier 4 – Evolving
Senegal,Africa,15.56,14.41,9.06,9.31,18.83,T3,67.17,Tier 3 – Establishing
Seychelles,Africa,16.75,3.17,10.18,5.88,14.28,T4,50.26,Tier 4 – Evolving
Sierra Leone,Africa,17.29,1.39,18.81,6.95,12.02,T3,56.46,Tier 3 – Establishing
South Africa,Africa,20,18.57,14.84,12.84,20,T2,86.25,Tier 2 – Advancing
South Sudan,Africa,12.47,4.56,7.21,1.27,8.87,T4,34.38,Tier 4 – Evolving
Tanzania,Africa,20,19.69,20,19.57,20,T1,99.26,Tier 1 – Role-modelling
Togo,Africa,20,15.3,17.88,17.29,18.33,T2,88.8,Tier 2 – Advancing
Uganda,Africa,16.41,18.21,17.61,13.59,17.12,T3,82.94,Tier 3 – Establishing
Zambia,Africa,20,17.62,20,14.97,20,T2,92.59,Tier 2 – Advancing
Zimbabwe,Africa,16.3,1.39,7.38,6.81,7.97,T4,39.85,Tier 4 – Evolving
Antigua and Barbuda,Americas,11.84,0,0,2.36,3.99,T5,18.19,Tier 5 – Building
Argentina,Americas,16.96,12.18,12.08,1.88,8.41,T4,51.51,Tier 4 – Evolving
Bahamas,Americas,11.26,3.22,5.47,6.08,7.97,T4,34,Tier 4 – Evolving
Barbados,Americas,14.92,3.01,4.17,6.45,7.97,T4,36.52,Tier 4 – Evolving
Belize,Americas,14.13,0,12.38,0,5.84,T4,32.35,Tier 4 – Evolving
Bolivia (Plurinational State of),Americas,13.7,6.18,4.65,8.23,10.23,T4,42.99,Tier 4 – Evolving
Brazil,Americas,20,20,17.29,19.09,20,T1,96.38,Tier 1 – Role-modelling
Canada,Americas,18.9,15.3,20,18.98,20,T2,93.18,Tier 2 – Advancing
Chile,Americas,14.69,13.81,13.41,11.52,16.8,T3,70.23,Tier 3 – Establishing
Colombia,Americas,13.37,16.22,10.91,15.14,10.23,T3,65.87,Tier 3 – Establishing
Costa Rica,Americas,18.68,9.31,18.12,12.16,16.8,T3,75.07,Tier 3 – Establishing
Cuba,Americas,20,14.65,14.33,16.82,6.93,T3,72.73,Tier 3 – Establishing
Dominica,Americas,6.69,0,0,8.17,7.97,T4,22.83,Tier 4 – Evolving
Dominican Rep.,Americas,18.48,15.74,18.37,10.64,12.44,T3,75.67,Tier 3 – Establishing
Ecuador,Americas,19.21,17.89,18.6,13.78,17.7,T2,87.18,Tier 2 – Advancing
El Salvador,Americas,13,0,15.15,1.02,8.13,T4,37.3,Tier 4 – Evolving
Grenada,Americas,13.8,0,0,2.36,3.99,T4,20.15,Tier 4 – Evolving
Guatemala,Americas,6.99,3.77,12.58,8.68,7.97,T4,39.99,Tier 4 – Evolving
Guyana,Americas,16.52,7.96,5.88,8.35,8.52,T4,47.23,Tier 4 – Evolving
Haiti,Americas,6.49,0,6.37,1.8,9.61,T4,24.27,Tier 4 – Evolving
Honduras,Americas,17.44,0,3.16,1.38,6.09,T4,28.07,Tier 4 – Evolving
Jamaica,Americas,16.41,6.58,15.82,8.26,11.13,T3,58.2,Tier 3 – Establishing
Mexico,Americas,18.39,19.6,17.34,17.05,13.39,T2,85.77,Tier 2 – Advancing
Nicaragua,Americas,12.33,0,5.97,0,2.26,T4,20.56,Tier 4 – Evolving
Panama,Americas,14.02,14.49,13.15,7.14,17.74,T3,66.54,Tier 3 – Establishing
Paraguay,Americas,17.81,8.47,17.66,14.03,16.8,T3,74.77,Tier 3 – Establishing
Peru,Americas,20,13.51,18.27,15.16,16.8,T3,83.74,Tier 3 – Establishing
Saint Kitts and Nevis,Americas,13.35,1.78,2.67,7.34,6.46,T4,31.6,Tier 4 – Evolving
Saint Lucia,Americas,12.05,0,1.04,5.11,7.97,T4,26.17,Tier 4 – Evolving
Saint Vincent and the Grenadines,Americas,11.58,0,4.72,3.78,6.46,T4,26.54,Tier 4 – Evolving
Suriname,Americas,15.21,6.18,3.39,2.02,7.97,T4,34.77,Tier 4 – Evolving
Trinidad and Tobago,Americas,8.88,6.98,16.21,13.03,11.13,T3,56.23,Tier 3 – Establishing
United States,Americas,20,20,20,19.86,20,T1,99.86,Tier 1 – Role-modelling
Uruguay,Americas,19.15,20,19.51,19.45,16.58,T2,94.69,Tier 2 – Advancing
Venezuela,Americas,15.01,4.56,12.23,4.69,3.93,T4,40.42,Tier 4 – Evolving
Algeria,Arab States,19.18,8.57,11.02,13.91,13.19,T3,65.87,Tier 3 – Establishing
Bahrain,Arab States,20,20,20,20,17.94,T1,97.94,Tier 1 – Role-modelling
Comoros,Arab States,18.03,7.92,7.29,4.39,1.52,T4,39.15,Tier 4 – Evolving
Djibouti,Arab States,11.84,3.54,5.57,1.67,8.87,T4,31.49,Tier 4 – Evolving
Egypt,Arab States,20,20,20,20,20,T1,100,Tier 1 – Role-modelling
Iraq,Arab States,11.21,9.6,15.77,8.38,8.11,T4,53.07,Tier 4 – Evolving
Jordan,Arab States,20,19.38,19.22,20,20,T1,98.6,Tier 1 – Role-modelling
Kuwait,Arab States,16.9,5.8,11.88,12.16,13.84,T3,60.58,Tier 3 – Establishing
Lebanon,Arab States,12.08,1.39,10.52,5.02,3.36,T4,32.37,Tier 4 – Evolving
Libya,Arab States,16.75,11.2,14,15.75,10.39,T3,68.09,Tier 3 – Establishing
Mauritania,Arab States,17.39,1.39,10.59,1.09,8.87,T4,39.33,Tier 4 – Evolving
Morocco,Arab States,20,18.12,20,19.38,20,T1,97.5,Tier 1 – Role-modelling
Oman,Arab States,19.59,18.39,20,19.03,20,T1,97.01,Tier 1 – Role-modelling
Qatar,Arab States,20,20,20,20,20,T1,100,Tier 1 – Role-modelling
Saudi Arabia,Arab States,20,20,20,20,20,T1,100,Tier 1 – Role-modelling
Somalia,Arab States,6.49,4.79,10.64,4.29,11.17,T4,37.38,Tier 4 – Evolving
State of Palestine,Arab States,14.24,9.6,2.38,9.04,2.46,T4,37.72,Tier 4 – Evolving
Sudan,Arab States,15.57,14.47,6.41,4.37,7.35,T4,48.17,Tier 4 – Evolving
Syrian Arab Republic,Arab States,15.6,8.74,12.4,9.17,5.48,T4,51.39,Tier 4 – Evolving
Tunisia,Arab States,19.18,17.8,14.23,14.97,15.82,T3,82,Tier 3 – Establishing
United Arab Emirates,Arab States,20,20,20,20,20,T1,100,Tier 1 – Role-modelling
Yemen,Arab States,5.29,1.9,0,0,0,T5,7.19,Tier 5 – Building
Afghanistan,Asia and the Pacific,5.81,3.29,6.99,2.23,0,T5,18.32,Tier 5 – Building
Australia,Asia and the Pacific,20,17.95,20,19.44,18.85,T1,96.24,Tier 1 – Role-modelling
Bangladesh,Asia and the Pacific,17.44,20,20,19.52,20,T1,96.96,Tier 1 – Role-modelling
Bhutan,Asia and the Pacific,14.18,16.43,13.14,9.71,7.15,T3,60.61,Tier 3 – Establishing
Brunei Darussalam,Asia and the Pacific,17.72,14.89,11.35,10.76,16.18,T3,70.9,Tier 3 – Establishing
Cambodia,Asia and the Pacific,11.82,4.56,8.3,6.12,6.22,T4,37.02,Tier 4 – Evolving
China,Asia and the Pacific,20,17.14,18.34,18.46,17.7,T2,91.64,Tier 2 – Advancing
Dem. People’s Rep. of Korea,Asia and the Pacific,0,0,2,1.92,2.26,T5,6.18,Tier 5 – Building
Fiji,Asia and the Pacific,13.42,1.39,15.71,8.75,14.54,T4,53.81,Tier 4 – Evolving
India,Asia and the Pacific,20,20,18.49,20,20,T1,98.49,Tier 1 – Role-modelling
Indonesia,Asia and the Pacific,20,20,20,20,20,T1,100,Tier 1 – Role-modelling
